<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOLUME>;<AMOUNT>
PLZL;D;20251013;000000;2270;2282.6;2205.8;2223.6;1485441;
PLZL;D;20251014;000000;2231;2255.2;2081.6;2128.2;2896459;
PLZL;D;20251015;000000;2138.8;2232.6;2094;2212.8;2573195;
PLZL;D;20251016;000000;2219;2340;2180;2340;3049477;
PLZL;D;20251017;000000;2359.6;2383.6;2185;2196.2;3352109;
PLZL;D;20251018;000000;2196.2;2224;2193.8;2213.4;287850;
PLZL;D;20251019;000000;2214;2216.8;2180;2193.6;215133;
PLZL;D;20251020;000000;2202.6;2208;2122.8;2186;2905009;
PLZL;D;20251021;000000;2186;2188.6;2039;2058.2;3167899;
PLZL;D;20251022;000000;2061.6;2095;2023;2043.8;1935726;
PLZL;D;20251023;000000;2035;2072;1990;2037.2;2000945;
PLZL;D;20251024;000000;2041;2094;2035;2043.2;1791487;
PLZL;D;20251027;000000;2041.6;2041.6;1951.2;1971;1384345;
PLZL;D;20251028;000000;1970.8;2006.8;1956;1980.6;1022083;
PLZL;D;20251029;000000;1980.6;2072;1980;2045.8;1898307;
PLZL;D;20251030;000000;2039.8;2097;2039.4;2094.6;980458;
PLZL;D;20251031;000000;2093;2119.8;2041;2052.8;1068246;
PLZL;D;20251101;000000;2059.4;2073;2050.8;2062;242073;
PLZL;D;20251103;000000;2068.6;2107;2063.2;2098.8;350233;
PLZL;D;20251105;000000;2094;2122.6;2055.2;2087;1001688;
PLZL;D;20251106;000000;2088;2098;2070.2;2072.8;373095;
PLZL;D;20251107;000000;2075;2100;2072.8;2084.8;442878;
PLZL;D;20251108;000000;2086;2092.6;2077;2083.2;25487;
PLZL;D;20251109;000000;2084.8;2089;2082.6;2087.2;19695;
PLZL;D;20251110;000000;2098;2148.2;2096;2148;1041708;
PLZL;D;20251111;000000;2154;2179.8;2142.2;2153.8;705262;
PLZL;D;20251112;000000;2151.2;2165.2;2119;2153.6;625548;
PLZL;D;20251113;000000;2159.8;2205;2155.8;2167.8;1182577;
PLZL;D;20251114;000000;2178.2;2189;2113.4;2150.2;941345;
PLZL;D;20251115;000000;2150.2;2156.8;2144.6;2151;19784;
PLZL;D;20251116;000000;2155;2159.8;2143;2158.6;24939;
PLZL;D;20251117;000000;2159;2164.6;2090;2095;846923;
PLZL;D;20251118;000000;2087.8;2150;2066.2;2130.2;992984;
PLZL;D;20251119;000000;2130;2189;2119.4;2145;1181890;
PLZL;D;20251120;000000;2149.2;2185;2131.2;2170.2;1020879;
PLZL;D;20251121;000000;2173.2;2177;2140;2161;683036;
PLZL;D;20251124;000000;2161.4;2182.6;2112;2140;757036;
PLZL;D;20251125;000000;2140.4;2149.8;2120.6;2133.6;560529;
PLZL;D;20251126;000000;2143.2;2145.2;2110.2;2136.6;422093;
PLZL;D;20251127;000000;2132.2;2138;2111;2111.2;349735;
PLZL;D;20251128;000000;2116.8;2149;2112;2140.4;652099;
PLZL;D;20251129;000000;2145.4;2147.6;2135;2139.8;33489;
PLZL;D;20251130;000000;2140.4;2152.6;2136.6;2147.6;48465;
PLZL;D;20251201;000000;2151;2163;2116.2;2144.8;512189;
PLZL;D;20251202;000000;2146.8;2151;2121.4;2135;374811;
PLZL;D;20251203;000000;2129;2143;2110.4;2128;428591;
PLZL;D;20251204;000000;2130.8;2152;2119.4;2136.8;581299;
PLZL;D;20251205;000000;2136;2192;2136;2168.6;860532;
PLZL;D;20251208;000000;2168.6;2190;2133;2138;822420;
PLZL;D;20251209;000000;2145;2179.4;2126.6;2168;501927;
PLZL;D;20251210;000000;2170;2185;2166.8;2183.8;307765;
PLZL;D;20251211;000000;2188.6;2268;2181;2255.6;1203671;
PLZL;D;20251212;000000;2259;2301.4;2222;2241.8;1484987;
PLZL;D;20251213;000000;2247.2;2258;2242.2;2254.8;61327;
