TICKER;DATE;PRICE
NLMK;20121203;62.22
NLMK;20121204;61.35
NLMK;20121205;62.16
NLMK;20121206;61.99
NLMK;20121207;62.1
NLMK;20121210;62.31
NLMK;20121211;63.4
NLMK;20121212;63.12
NLMK;20121213;62.8
NLMK;20121214;62.71
NLMK;20121217;61.98
NLMK;20121218;62.15
NLMK;20121219;62.04
NLMK;20121220;62.64
NLMK;20121221;62.15
NLMK;20121224;61.15
NLMK;20121225;60.96
NLMK;20121226;61.23
NLMK;20121227;60.99
NLMK;20121228;61.2
NLMK;20130108;65.38
NLMK;20130109;64.77
NLMK;20130110;65.3
NLMK;20130111;65.81
NLMK;20130114;68.14
NLMK;20130115;67.41
NLMK;20130116;67.68
NLMK;20130117;67.94
NLMK;20130118;68.44
NLMK;20130121;68.04
NLMK;20130122;66.95
NLMK;20130123;66.61
NLMK;20130124;65.71
NLMK;20130125;65.99
NLMK;20130128;66.31
NLMK;20130129;64.56
NLMK;20130130;63.71
NLMK;20130131;63.51
NLMK;20130201;63.6
NLMK;20130204;62.45
NLMK;20130205;63.32
NLMK;20130206;62.8
NLMK;20130207;62.1
NLMK;20130208;61.91
NLMK;20130211;61.34
NLMK;20130212;61.05
NLMK;20130213;62.68
NLMK;20130214;61.27
NLMK;20130215;61.4
NLMK;20130218;61.12
NLMK;20130219;61.57
NLMK;20130220;60.64
NLMK;20130221;58.89
NLMK;20130222;58.52
NLMK;20130225;59.35
NLMK;20130226;58.3
NLMK;20130227;58.95
NLMK;20130228;58.87
NLMK;20130301;57.95
NLMK;20130304;56.61
NLMK;20130305;57.06
NLMK;20130306;57.89
NLMK;20130307;57.25
NLMK;20130311;57.7
NLMK;20130312;57.01
NLMK;20130313;55.8
NLMK;20130314;55.8
NLMK;20130315;54.59
NLMK;20130318;52.67
NLMK;20130319;51.48
NLMK;20130320;50.8
NLMK;20130321;51.29
NLMK;20130322;50.45
NLMK;20130325;49.93
NLMK;20130326;47.6
NLMK;20130327;48.62
NLMK;20130328;48.87
NLMK;20130329;49.05
NLMK;20130401;48.0
NLMK;20130402;47.94
NLMK;20130403;46.5
NLMK;20130404;46.65
NLMK;20130405;46.09
NLMK;20130408;45.78
NLMK;20130409;47.69
NLMK;20130410;49.96
NLMK;20130411;49.35
NLMK;20130412;50.42
NLMK;20130415;48.45
NLMK;20130416;49.11
NLMK;20130417;49.24
NLMK;20130418;49.26
NLMK;20130419;50.68
NLMK;20130422;50.97
NLMK;20130423;52.03
NLMK;20130424;53.91
NLMK;20130425;53.57
NLMK;20130426;53.32
NLMK;20130429;52.8
NLMK;20130430;51.71
NLMK;20130502;52.69
NLMK;20130503;53.56
NLMK;20130506;53.3
